year,province,baseline_2025_power_mw,provincial_share,target_total_power_mw,min_extendable_power_mw,max_extendable_power_mw,min_extendable_energy_mwh,max_extendable_energy_mwh,guard_active,lower_multiplier,upper_multiplier,national_cumulative_target_mw
2035,Shandong,11210.0,0.0824264699821583,39564.70559143599,0.0,51434.11726886679,0.0,308604.7036132007,True,0.0,1.3,480000.0
2035,Henan,5000.0,0.03676470561202422,17647.058693771625,0.0,22941.176301903113,0.0,137647.05781141866,True,0.0,1.3,480000.0
2035,Hubei,1569.204,0.01153826462104217,5538.367018100242,0.0,7199.877123530315,0.0,43199.26274118189,True,0.0,1.3,480000.0
2035,Hunan,5317.517,0.03909938941838684,18767.706920825683,0.0,24398.018997073388,0.0,146388.11398244032,True,0.0,1.3,480000.0
2035,Guangdong,7317.268,0.05380344078085705,25825.65157481138,0.0,33573.3470472548,0.0,201440.0822835288,True,0.0,1.3,480000.0
2035,Guangxi,996.006,0.007323573475561959,3515.31526826974,0.0,4569.909848750663,0.0,27419.459092503974,True,0.0,1.3,480000.0
2035,Hainan,209.59,0.0015411029298448313,739.729406325519,0.0,961.6482282231747,0.0,5769.889369339048,True,0.0,1.3,480000.0
2035,Chongqing,197.552,0.0014525882246133215,697.2423478143943,0.0,906.4150521587126,0.0,5438.490312952275,True,0.0,1.3,480000.0
2035,Sichuan,766.627,0.005636963193845858,2705.742333046012,0.0,3517.4650329598157,0.0,21104.790197758895,True,0.0,1.3,480000.0
2035,Guizhou,2053.685,0.015100624888965991,7248.299946703676,0.0,9422.78993071478,0.0,56536.739584288676,True,0.0,1.3,480000.0
2035,Yunnan,5000.0,0.03676470561202422,17647.058693771625,0.0,22941.176301903113,0.0,137647.05781141866,True,0.0,1.3,480000.0
2035,Tibet,197.882,0.0014550146951837154,698.4070536881834,0.0,907.9291697946385,0.0,5447.575018767831,True,0.0,1.3,480000.0
2035,Shaanxi,2517.058,0.01850777927567809,8883.734052325482,0.0,11548.854268023128,0.0,69293.12560813877,True,0.0,1.3,480000.0
2035,Gansu,6340.117,0.04661850701015803,22376.883364875855,0.0,29089.94837433861,0.0,174539.69024603168,True,0.0,1.3,480000.0
2035,Qinghai,4422.175,0.032515992407970644,15607.67635582591,0.0,20289.979262573685,0.0,121739.8755754421,True,0.0,1.3,480000.0
2035,Ningxia,8780.721,0.06456412452526378,30990.779772126614,0.0,40288.0137037646,0.0,241728.0822225876,True,0.0,1.3,480000.0
2035,Xinjiang,18800.0,0.13823529310121105,66352.94068858131,0.0,86258.82289515571,0.0,517552.9373709343,True,0.0,1.3,480000.0
2040,Beijing,89.707,0.0006596102892675713,395.76617356054277,0.0,514.4960256287056,0.0,3086.976153772234,True,0.0,1.3,600000.0
2040,Tianjin,327.495,0.002408051452881974,1444.8308717291845,0.0,1878.28013324794,0.0,11269.68079948764,True,0.0,1.3,600000.0
2040,Hebei,6658.259,0.048957786404722155,29374.671842833293,0.0,38187.073395683285,0.0,229122.4403740997,True,0.0,1.3,600000.0
2040,Shanxi,3751.743,0.027586345385394517,16551.80723123671,0.0,21517.349400607727,0.0,129104.09640364637,True,0.0,1.3,600000.0
2040,InnerMongolia,20260.0,0.14897058713992214,89382.35228395328,0.0,116197.05796913926,0.0,697182.3478148356,True,0.0,1.3,600000.0
2040,Liaoning,982.154,0.0072217205351344065,4333.032321080644,0.0,5632.942017404837,0.0,33797.65210442903,True,0.0,1.3,600000.0
2040,Jilin,677.251,0.004979786728089803,2987.8720368538816,0.0,3884.2336479100463,0.0,23305.401887460277,True,0.0,1.3,600000.0
2040,Heilongjiang,700.832,0.005153176432697231,3091.9058596183386,0.0,4019.4776175038405,0.0,24116.865705023043,True,0.0,1.3,600000.0
2040,Shanghai,225.255,0.001656286752527303,993.7720515163818,0.0,1291.9036669712964,0.0,7751.422001827778,True,0.0,1.3,600000.0
2040,Jiangsu,10544.137,0.07753041854757045,46518.25112854227,0.0,60473.726467104956,0.0,362842.35880262975,True,0.0,1.3,600000.0
2040,Zhejiang,5181.171,0.03809684530811143,22858.107184866858,0.0,29715.539340326915,0.0,178293.2360419615,True,0.0,1.3,600000.0
2040,Anhui,3408.665,0.025063713051002107,15038.227830601263,0.0,19549.696179781644,0.0,117298.17707868986,True,0.0,1.3,600000.0
