year,province,share_historical,national_target_mw,target_source,guard_active,allocated_min_total_mw,allocated_max_total_mw,allow_underbuild_only
2030,Shanxi,0.04297850097076331,2834639.9624391412,national_capacity_csv,True,0.0,121828.57637745512,True
2030,Sichuan,0.0145676725149526,2834639.9624391412,national_capacity_csv,True,0.0,41294.10667061095,True
2030,Tianjin,0.008779540718720441,2834639.9624391412,national_capacity_csv,True,0.0,24886.836973146623,True
2030,Tibet,0.004790699162938888,2834639.9624391412,national_capacity_csv,True,0.0,13579.907295290315,True
2030,Xinjiang,0.07108263222649722,2834639.9624391412,national_capacity_csv,True,0.0,201493.66994459336,True
2030,Yunnan,0.046232158223752054,2834639.9624391412,national_capacity_csv,True,0.0,131051.52325085696,True
2030,Zhejiang,0.05427740361707121,2834639.9624391412,national_capacity_csv,True,0.0,153856.89735038884,True
2035,Anhui,0.04834347952862863,3580429.612567163,national_capacity_csv,True,0.0,173090.4256788364,True
2035,Beijing,0.001711281478689434,3580429.612567163,national_capacity_csv,True,0.0,6127.122881737372,True
2035,Chongqing,0.004786254275981254,3580429.612567163,national_capacity_csv,True,0.0,17136.846542999487,True
2035,Fujian,0.014522334667984724,3580429.612567163,national_capacity_csv,True,0.0,51996.19708886323,True
2035,Gansu,0.03243078422029571,3580429.612567163,national_capacity_csv,True,0.0,116116.14018112264,True
2035,Guangdong,0.052351878587023774,3580429.612567163,national_capacity_csv,True,0.0,187442.21636650068,True
2035,Guangxi,0.02629861817354261,3580429.612567163,national_capacity_csv,True,0.0,94160.35127814893,True
2035,Guizhou,0.024609561129641352,3580429.612567163,national_capacity_csv,True,0.0,88112.8014208497,True
2035,Hainan,0.008425727716892704,3580429.612567163,national_capacity_csv,True,0.0,30167.725024990552,True
2035,Hebei,0.07247032593467083,3580429.612567163,national_capacity_csv,True,0.0,259474.90100888952,True
2035,Heilongjiang,0.007676319775835461,3580429.612567163,national_capacity_csv,True,0.0,27484.52264093621,True
2035,Henan,0.046738875336922434,3580429.612567163,national_capacity_csv,True,0.0,167345.25331440213,True
2035,Hubei,0.03878163870536445,3580429.612567163,national_capacity_csv,True,0.0,138854.92764456774,True
2035,Hunan,0.02326542731365256,3580429.612567163,national_capacity_csv,True,0.0,83300.22490283054,True
2035,InnerMongolia,0.0452551720704639,3580429.612567163,national_capacity_csv,True,0.0,162032.95820291137,True
