snapshot,province,load_mw,min_output_floor_mw,thermal_stage1_mw,min_output_deficit_mw,min_output_binding,vre_stage1_mw,vre_curtailment_total_mw,thermal_stage2_mw,vre_stage2_mw,onwind_stage1_mw,onwind_curtailment_mw,onwind_stage2_mw,offwind_stage1_mw,offwind_curtailment_mw,offwind_stage2_mw,solar_stage1_mw,solar_curtailment_mw,solar_stage2_mw
2025-09-21 01:00:00,Shandong,80684.6205435807,8068.462054358071,77921.83980064045,0.0,False,2163.1541881648523,0.0,77921.83980064045,2163.1541881648523,1910.741460090931,0.0,1910.741460090931,252.4127280739212,0.0,252.4127280739212,0.0,0.0,0.0
2025-09-21 02:00:00,Shandong,79953.51902011603,7995.351902011604,77325.30946381623,0.0,False,2038.362499622105,0.0,77325.30946381623,2038.362499622105,1738.2939090237514,0.0,1738.2939090237514,300.0685905983534,0.0,300.0685905983534,0.0,0.0,0.0
2025-09-21 03:00:00,Shandong,78243.23379040962,7824.323379040962,75821.99258305818,0.0,False,1840.0620988712508,0.0,75821.99258305818,1840.0620988712508,1523.1456440794104,0.0,1523.1456440794104,316.91645479184047,0.0,316.91645479184047,0.0,0.0,0.0
2025-09-21 04:00:00,Shandong,76587.14112685157,7658.714112685157,74304.34672174344,0.0,False,1707.6702021693923,0.0,74304.34672174344,1707.6702021693923,1392.7424179858851,0.0,1392.7424179858851,314.9277841835071,0.0,314.9277841835071,0.0,0.0,0.0
2025-09-21 05:00:00,Shandong,80378.81674787181,8037.8816747871815,78143.46484779193,0.0,False,1661.6712539538937,0.0,78143.46484779193,1661.6712539538937,1344.444622136448,0.0,1344.444622136448,317.2266318174457,0.0,317.2266318174457,0.0,0.0,0.0
2025-09-21 06:00:00,Shandong,83247.21816493242,8324.721816493242,81498.10323650845,0.0,False,1170.3517309216254,0.0,81498.10323650845,1170.3517309216254,1002.288248661745,0.0,1002.288248661745,168.06348225988037,0.0,168.06348225988037,0.0,0.0,0.0
2025-09-21 07:00:00,Shandong,86104.3093367752,8610.43093367752,81059.8636238087,0.0,False,4460.2248296207335,0.0,81059.8636238087,4460.2248296207335,1070.01546745523,0.0,1070.01546745523,197.92431884043884,0.0,197.92431884043884,3192.2850433250646,0.0,3192.2850433250646
2025-09-21 08:00:00,Shandong,62478.82622736496,6247.882622736496,47250.91632356382,0.0,False,16093.744546811504,0.0,47250.91632356382,16093.744546811504,599.5336673923515,0.0,599.5336673923515,257.8174271092718,0.0,257.8174271092718,15236.393452309881,0.0,15236.393452309881
2025-09-21 09:00:00,Shandong,78259.6089798085,7825.960897980851,47250.95716865681,0.0,False,29260.035753156797,0.0,47250.95716865681,29260.035753156797,487.5984187247584,0.0,487.5984187247584,289.9111674274351,0.0,289.9111674274351,28482.526167004602,0.0,28482.526167004602
2025-09-21 10:00:00,Shandong,84164.67607427126,8416.467607427126,47250.906853313885,0.0,False,38350.28277853306,0.0,47250.906853313885,38350.28277853306,413.4281378661643,0.0,413.4281378661643,279.73424915141254,0.0,279.73424915141254,37657.120391515484,0.0,37657.120391515484
2025-09-21 11:00:00,Shandong,88644.38214593261,8864.438214593261,47250.91081981702,0.0,False,45871.96114580779,0.0,47250.91081981702,45871.96114580779,391.1843335331096,0.0,391.1843335331096,259.2638002690262,0.0,259.2638002690262,45221.51301200566,0.0,45221.51301200566
2025-09-21 12:00:00,Shandong,83367.57711955109,8336.75771195511,47250.90538718022,0.0,False,48429.90619653167,0.0,47250.90538718022,48429.90619653167,403.1342112130123,0.0,403.1342112130123,252.82797072639767,0.0,252.82797072639767,47773.94401459226,0.0,47773.94401459226
2025-09-21 13:00:00,Shandong,80339.61705386387,8033.961705386388,47250.6218293713,0.0,False,48897.94062989385,0.0,47250.6218293713,48897.94062989385,466.42960510794614,0.0,466.42960510794614,247.46631506925291,0.0,247.46631506925291,48184.04470971665,0.0,48184.04470971665
2025-09-21 14:00:00,Shandong,79561.42113505567,7956.142113505568,47250.90643056907,0.0,False,42884.52923018915,0.0,47250.90643056907,42884.52923018915,613.7898137090474,0.0,613.7898137090474,274.0776979144597,0.0,274.0776979144597,41996.66171856564,0.0,41996.66171856564
2025-09-21 15:00:00,Shandong,78309.7049624597,7830.97049624597,47608.4496857007,0.0,False,30138.47377579449,0.0,47608.4496857007,30138.47377579449,671.5125647201572,0.0,671.5125647201572,297.2740142107235,0.0,297.2740142107235,29169.687196863608,0.0,29169.687196863608
2025-09-21 16:00:00,Shandong,77648.3286001559,7764.832860015591,59211.63210501763,0.0,False,17752.84598556682,0.0,59211.63210501763,17752.84598556682,546.0238444571868,0.0,546.0238444571868,251.43130125285026,0.0,251.43130125285026,16955.39083985678,0.0,16955.39083985678
2025-09-21 17:00:00,Shandong,100512.51076905344,10051.251076905344,89511.9447809735,0.0,False,7926.919502606083,0.0,89511.9447809735,7926.919502606083,651.2704883236439,0.0,651.2704883236439,224.01845430045847,0.0,224.01845430045847,7051.630559981981,0.0,7051.630559981981
2025-09-21 18:00:00,Shandong,111148.007490117,11114.800749011702,104123.54605976681,0.0,False,1833.1825958380875,0.0,104123.54605976681,1833.1825958380875,674.1647766376827,0.0,674.1647766376827,195.70032533940326,0.0,195.70032533940326,963.3174938610016,0.0,963.3174938610016
2025-09-21 19:00:00,Shandong,119309.94750232983,11930.994750232983,113195.84638671044,0.0,False,1105.2847251255296,0.0,113195.84638671044,1105.2847251255296,880.1810595953887,0.0,880.1810595953887,225.10366553014097,0.0,225.10366553014097,0.0,0.0,0.0
2025-09-21 20:00:00,Shandong,116848.64833471789,11684.86483347179,111258.91895968991,0.0,False,1567.9626969882208,0.0,111258.91895968991,1567.9626969882208,1292.8513961180195,0.0,1292.8513961180195,275.1113008702014,0.0,275.1113008702014,0.0,0.0,0.0
2025-09-21 21:00:00,Shandong,113776.76131780616,11377.676131780616,108470.14850883064,0.0,False,1814.66718729855,0.0,108470.14850883064,1814.66718729855,1526.321973975381,0.0,1526.321973975381,288.34521332316893,0.0,288.34521332316893,0.0,0.0,0.0
2025-09-21 22:00:00,Shandong,108792.42946708921,10879.242946708922,104028.327525051,0.0,False,1749.591076774615,0.0,104028.327525051,1749.591076774615,1489.586204199016,0.0,1489.586204199016,260.00487257559905,0.0,260.00487257559905,0.0,0.0,0.0
2025-09-21 23:00:00,Shandong,103231.48284770933,10323.148284770934,98986.32430606615,0.0,False,1681.3500075874279,0.0,98986.32430606615,1681.3500075874279,1452.5235872912508,0.0,1452.5235872912508,228.82642029617705,0.0,228.82642029617705,0.0,0.0,0.0
